Action,Adventure,Puzzle,RPG,Strategy,Price
1,0,0,0,0,7.50
1,0,0,0,0,2.00
1,0,0,0,0,19.99
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,2.00
1,0,0,0,0,10.00
1,0,0,0,0,2.00
1,0,0,0,0,14.99
1,0,0,0,0,6.99
1,0,0,0,0,22.49
1,0,0,0,0,5.99
1,0,0,0,0,9.99
1,0,0,0,0,5.99
1,0,0,0,0,5.24
1,0,0,0,0,5.99
1,0,0,0,0,7.99
1,0,0,0,0,5.24
1,0,0,0,0,11.99
1,0,0,0,0,3.49
1,0,0,0,0,9.99
1,0,0,0,0,4.99
1,0,0,0,0,4.99
1,0,0,0,0,19.99
1,0,0,0,0,11.99
1,0,0,0,0,13.39
1,0,0,0,0,4.99
1,0,0,0,0,9.99
1,0,0,0,0,3.74
1,0,0,0,0,9.74
1,0,0,0,0,7.49
1,0,0,0,0,4.99
1,0,0,0,0,9.99
1,0,0,0,0,1.59
1,0,0,0,0,11.99
1,0,0,0,0,8.99
1,0,0,0,0,1.49
1,0,0,0,0,7.14
1,0,0,0,0,12.74
1,0,0,0,0,11.99
1,0,0,0,0,5.19
1,0,0,0,0,7.99
1,0,0,0,0,5.24
1,0,0,0,0,9.90
1,0,0,0,0,2.09
1,0,0,0,0,2.49
1,0,0,0,0,13.99
1,0,0,0,0,14.99
1,0,0,0,0,9.99
1,0,0,0,0,2.99
1,0,0,0,0,1.69
1,0,0,0,0,3.99
1,0,0,0,0,3.49
1,0,0,0,0,1.99
1,0,0,0,0,1.99
1,0,0,0,0,24.99
1,0,0,0,0,9.99
1,0,0,0,0,2.49
1,0,0,0,0,1.99
1,0,0,0,0,12.49
1,0,0,0,0,8.99
1,0,0,0,0,4.99
1,0,0,0,0,3.19
1,0,0,0,0,8.99
1,0,0,0,0,9.00
1,0,0,0,0,7.69
1,0,0,0,0,1.49
1,0,0,0,0,9.90
1,0,0,0,0,5.99
1,0,0,0,0,1.79
1,0,0,0,0,5.19
1,0,0,0,0,6.89
1,0,0,0,0,7.49
1,0,0,0,0,1.99
1,0,0,0,0,3.19
1,0,0,0,0,10.39
1,0,0,0,0,4.49
1,0,0,0,0,11.24
1,0,0,0,0,13.99
1,0,0,0,0,7.49
1,0,0,0,0,3.74
1,0,0,0,0,4.39
1,0,0,0,0,13.49
1,0,0,0,0,13.99
1,0,0,0,0,29.99
1,0,0,0,0,1.99
1,0,0,0,0,1.19
1,0,0,0,0,11.24
1,0,0,0,0,2.79
1,0,0,0,0,1.19
1,0,0,0,0,2.49
1,0,0,0,0,4.49
1,0,0,0,0,11.99
1,0,0,0,0,17.99
1,0,0,0,0,3.49
1,0,0,0,0,7.19
1,0,0,0,0,8.99
1,0,0,0,0,3.99
1,0,0,0,0,5.99
1,0,0,0,0,2.49
1,0,0,0,0,8.49
1,0,0,0,0,2.49
1,0,0,0,0,11.04
1,0,0,0,0,4.99
1,0,0,0,0,1.39
1,0,0,0,0,17.99
1,0,0,0,0,2.79
1,0,0,0,0,7.49
1,0,0,0,0,10.49
1,0,0,0,0,4.99
1,0,0,0,0,2.99
1,0,0,0,0,7.49
1,0,0,0,0,2.24
1,0,0,0,0,1.24
1,0,0,0,0,2.99
1,0,0,0,0,2.49
1,0,0,0,0,4.99
1,0,0,0,0,2.37
1,0,0,0,0,7.49
1,0,0,0,0,2.69
1,0,0,0,0,4.99
1,0,0,0,0,7.19
1,0,0,0,0,4.99
1,0,0,0,0,11.39
1,0,0,0,0,2.49
1,0,0,0,0,12.49
1,0,0,0,0,4.99
1,0,0,0,0,7.79
1,0,0,0,0,5.19
1,0,0,0,0,4.24
1,0,0,0,0,2.49
1,0,0,0,0,12.74
1,0,0,0,0,1.49
1,0,0,0,0,2.99
1,0,0,0,0,2.99
1,0,0,0,0,10.79
1,0,0,0,0,31.99
1,0,0,0,0,3.99
1,0,0,0,0,1.79
1,0,0,0,0,1.79
1,0,0,0,0,1.69
1,0,0,0,0,4.89
1,0,0,0,0,3.99
